body,label
We noticed unusual login attempts. Confirm your account here: http://ebay-secure-247.com.cc/secure/update/,1
Your account settings have been updated as requested.,0
Your account is at risk. Reactivate now: http://ebay-security-626.com.ml/security/,1
"Hello, Your order has shipped and is on its way! Track your package here: https://www.amazon.com/trackorder",0
The project is on track for completion. Let me know if you need anything else.,0
"Hi Team, Just a reminder that we have a meeting scheduled tomorrow at 10:00 AM in the main conference room. Please bring your project updates.",0
Welcome to our weekly newsletter. Here are the top stories...,0
Your account will be deleted if not verified: http://amazon-alert-514.com.top/alert/account/,1
The project is on track for completion. Let me know if you need anything else.,0
Attached is the invoice for your recent purchase. Thank you for shopping with us.,0
You're invited to our annual event! RSVP here.,0
Attached is the invoice for your recent purchase. Thank you for shopping with us.,0
Attached is the invoice for your recent purchase. Thank you for shopping with us.,0
Final notice: click here to keep your account active: http://chase-alert-838.com.xyz/verify/,1
"Dear Customer, Your account has been temporarily suspended. Click here to verify: http://ebay-alert-150.com.pw",1
The project is on track for completion. Let me know if you need anything else.,0
Thank you for your feedback. We appreciate your input.,0
Your account settings have been updated as requested.,0
Your account will be deleted if not verified: http://facebook-confirm-264.com.cc/secure/,1
Thank you for your feedback. We appreciate your input.,0
"Dear Customer, Your account has been temporarily suspended. Click here to verify: http://microsoft-support-917.com.ml/secure/",1
Welcome to our weekly newsletter. Here are the top stories...,0
Immediate action required: reset your password at http://paypal-secure-542.com.xyz/secure/update/,1
Unlock your account by confirming your details here: http://chase-alert-871.com.cc/alert/,1
Your payment failed. Update your information: http://ebay-verify-547.com.cn/verify/account/,1
Your latest bank statement is now available in your online banking portal.,0
Security alert! Review activity: http://facebook-secure-488.com.pw/secure/,1
Attached is the invoice for your recent purchase. Thank you for shopping with us.,0
Unlock your account by confirming your details here: http://facebook-security-230.com.ml/secure/,1
You're invited to our annual event! RSVP here.,0
Your account will be deleted if not verified: http://facebook-unlock-499.com.info/verify/,1
Your latest bank statement is now available in your online banking portal.,0
"Hi Team, Just a reminder that we have a meeting scheduled tomorrow at 10:00 AM in the main conference room. Please bring your project updates.",0
Thank you for your feedback. We appreciate your input.,0
Security alert! Review activity: http://microsoft-security-953.com.ru/security/account/,1
"Dear Customer, Your account has been temporarily suspended. Click here to verify: http://amazon-secure-263.com.top/secure/",1
Your account settings have been updated as requested.,0
Final notice: click here to keep your account active: http://facebook-security-673.com.cc/security/,1
We noticed unusual login attempts. Confirm your account here: http://ebay-support-119.com.info/secure/,1
You're invited to our annual event! RSVP here.,0
Final notice: click here to keep your account active: http://microsoft-verify-413.com.gq/verify/,1
We noticed unusual login attempts. Confirm your account here: http://google-login-925.com.ru/secure/,1
Your account is at risk. Reactivate now: http://amazon-signin-229.com.tk/signin/,1
Your payment failed. Update your information: http://paypal-verify-481.com.tk/verify/account/,1
Immediate action required: reset your password at http://apple-reset-364.com.tk/secure/,1
Your account will be deleted if not verified: http://dropbox-login-484.com.info/login/update/,1
Your account is at risk. Reactivate now: http://facebook-reset-254.com.cn/secure/,1
Unlock your account by confirming your details here: http://facebook-signin-553.com.tk/signin/,1
"Hello, Your order has shipped and is on its way! Track your package here: https://www.amazon.com/trackorder",0
"Hello, Your order has shipped and is on its way! Track your package here: https://www.amazon.com/trackorder",0
The project is on track for completion. Let me know if you need anything else.,0
Your account is at risk. Reactivate now: http://google-account-696.com.ru/account/update/,1
Your password was changed successfully. No further action is needed.,0
Immediate action required: reset your password at http://facebook-account-129.com.ru/verify/,1
Thank you for your feedback. We appreciate your input.,0
"Dear User, We detected suspicious activity on your account. Please verify your information immediately to restore access: http://chase-update-320.com.top/update/update/",1
Your account is at risk. Reactivate now: http://paypal-signin-351.com.info/secure/,1
You're invited to our annual event! RSVP here.,0
Your latest bank statement is now available in your online banking portal.,0
"Hello, Your order has shipped and is on its way! Track your package here: https://www.amazon.com/trackorder",0
Your account will be deleted if not verified: http://ebay-verify-942.com.xyz,1
We noticed unusual login attempts. Confirm your account here: http://amazon-bank-234.com.tk/bank/account/,1
"Hello, Your order has shipped and is on its way! Track your package here: https://www.amazon.com/trackorder",0
Unlock your account by confirming your details here: http://facebook-confirm-783.com.ml,1
Your latest bank statement is now available in your online banking portal.,0
Welcome to our weekly newsletter. Here are the top stories...,0
Final notice: click here to keep your account active: http://facebook-alert-114.com.xyz/secure/,1
Attached is the invoice for your recent purchase. Thank you for shopping with us.,0
The project is on track for completion. Let me know if you need anything else.,0
"Dear Customer, Your account has been temporarily suspended. Click here to verify: http://ebay-secure-752.com.pw/verify/",1
Security alert! Review activity: http://apple-signin-348.com.info/signin/,1
Thank you for your feedback. We appreciate your input.,0
"Dear User, We detected suspicious activity on your account. Please verify your information immediately to restore access: http://bankofamerica-support-613.com.tk/support/account/",1
Security alert! Review activity: http://paypal-support-698.com.top/secure/,1
We noticed unusual login attempts. Confirm your account here: http://amazon-reset-262.com.xyz/secure/,1
Your account is at risk. Reactivate now: http://paypal-update-311.com.info/update/,1
Your account will be deleted if not verified: http://bankofamerica-bank-953.com.ml,1
Thank you for your feedback. We appreciate your input.,0
Your latest bank statement is now available in your online banking portal.,0
Your account will be deleted if not verified: http://amazon-security-514.com.info,1
"Dear Customer, Your account has been temporarily suspended. Click here to verify: http://chase-unlock-542.com.cc/unlock/update/",1
Your latest bank statement is now available in your online banking portal.,0
Your latest bank statement is now available in your online banking portal.,0
Welcome to our weekly newsletter. Here are the top stories...,0
Your account is at risk. Reactivate now: http://bankofamerica-login-638.com.cc/login/update/,1
"Hi Team, Just a reminder that we have a meeting scheduled tomorrow at 10:00 AM in the main conference room. Please bring your project updates.",0
Unlock your account by confirming your details here: http://google-account-985.com.xyz,1
Your payment failed. Update your information: http://bankofamerica-confirm-185.com.cn/confirm/,1
Your account settings have been updated as requested.,0
"Dear Customer, Your account has been temporarily suspended. Click here to verify: http://chase-bank-143.com.info/secure/",1
Unlock your account by confirming your details here: http://paypal-login-542.com.ml/login/,1
Final notice: click here to keep your account active: http://google-update-402.com.cn/update/account/,1
Your account settings have been updated as requested.,0
Your payment failed. Update your information: http://microsoft-update-658.com.info,1
Welcome to our weekly newsletter. Here are the top stories...,0
"Dear Customer, Your account has been temporarily suspended. Click here to verify: http://apple-secure-521.com.ru/secure/account/",1
Your password was changed successfully. No further action is needed.,0
Your password was changed successfully. No further action is needed.,0
We noticed unusual login attempts. Confirm your account here: http://chase-login-340.com.xyz/secure/,1
"Dear Customer, Your account has been temporarily suspended. Click here to verify: http://ebay-update-664.com.info/update/account/",1
Security alert! Review activity: http://google-reset-254.com.gq/reset/account/,1
Unlock your account by confirming your details here: http://apple-unlock-512.com.cn,1
Final notice: click here to keep your account active: http://microsoft-reset-424.com.cc/reset/update/,1
Your latest bank statement is now available in your online banking portal.,0
"Hello, Your order has shipped and is on its way! Track your package here: https://www.amazon.com/trackorder",0
"Dear User, We detected suspicious activity on your account. Please verify your information immediately to restore access: http://paypal-security-313.com.tk/security/account/",1
Your account is at risk. Reactivate now: http://dropbox-security-205.com.pw/security/update/,1
"Dear Customer, Your account has been temporarily suspended. Click here to verify: http://bankofamerica-account-339.com.ru/account/account/",1
You're invited to our annual event! RSVP here.,0
Your account settings have been updated as requested.,0
"Hello, Your order has shipped and is on its way! Track your package here: https://www.amazon.com/trackorder",0
Security alert! Review activity: http://facebook-support-116.com.xyz/support/account/,1
You're invited to our annual event! RSVP here.,0
"Dear Customer, Your account has been temporarily suspended. Click here to verify: http://facebook-verify-956.com.top/verify/",1
Immediate action required: reset your password at http://dropbox-verify-663.com.top/verify/update/,1
Attached is the invoice for your recent purchase. Thank you for shopping with us.,0
Immediate action required: reset your password at http://google-unlock-110.com.cc/unlock/update/,1
You're invited to our annual event! RSVP here.,0
We noticed unusual login attempts. Confirm your account here: http://paypal-verify-906.com.tk/verify/,1
"Hello, Your order has shipped and is on its way! Track your package here: https://www.amazon.com/trackorder",0
Unlock your account by confirming your details here: http://paypal-support-127.com.info,1
Thank you for your feedback. We appreciate your input.,0
Thank you for your feedback. We appreciate your input.,0
Immediate action required: reset your password at http://paypal-account-414.com.ru/account/account/,1
"Hi Team, Just a reminder that we have a meeting scheduled tomorrow at 10:00 AM in the main conference room. Please bring your project updates.",0
"Hi Team, Just a reminder that we have a meeting scheduled tomorrow at 10:00 AM in the main conference room. Please bring your project updates.",0
Your account settings have been updated as requested.,0
Your password was changed successfully. No further action is needed.,0
Your account is at risk. Reactivate now: http://google-security-716.com.cn/security/update/,1
Final notice: click here to keep your account active: http://ebay-security-596.com.cc/security/account/,1
Your password was changed successfully. No further action is needed.,0
Welcome to our weekly newsletter. Here are the top stories...,0
Immediate action required: reset your password at http://amazon-update-480.com.info/verify/,1
Your payment failed. Update your information: http://google-verify-508.com.ml/verify/,1
Welcome to our weekly newsletter. Here are the top stories...,0
Your password was changed successfully. No further action is needed.,0
Immediate action required: reset your password at http://amazon-account-874.com.info/account/update/,1
You're invited to our annual event! RSVP here.,0
Welcome to our weekly newsletter. Here are the top stories...,0
"Hello, Your order has shipped and is on its way! Track your package here: https://www.amazon.com/trackorder",0
The project is on track for completion. Let me know if you need anything else.,0
"Dear Customer, Your account has been temporarily suspended. Click here to verify: http://google-bank-373.com.pw",1
Thank you for your feedback. We appreciate your input.,0
Welcome to our weekly newsletter. Here are the top stories...,0
We noticed unusual login attempts. Confirm your account here: http://chase-secure-569.com.xyz/secure/,1
We noticed unusual login attempts. Confirm your account here: http://amazon-secure-553.com.ru/secure/,1
"Dear User, We detected suspicious activity on your account. Please verify your information immediately to restore access: http://bankofamerica-account-842.com.top/account/update/",1
Welcome to our weekly newsletter. Here are the top stories...,0
Immediate action required: reset your password at http://bankofamerica-security-140.com.info/secure/,1
"Hi Team, Just a reminder that we have a meeting scheduled tomorrow at 10:00 AM in the main conference room. Please bring your project updates.",0
Security alert! Review activity: http://google-confirm-130.com.cc/verify/,1
Your account is at risk. Reactivate now: http://facebook-confirm-989.com.tk/confirm/account/,1
Your latest bank statement is now available in your online banking portal.,0
Your account settings have been updated as requested.,0
Your password was changed successfully. No further action is needed.,0
Your password was changed successfully. No further action is needed.,0
Your account settings have been updated as requested.,0
"Dear Customer, Your account has been temporarily suspended. Click here to verify: http://ebay-security-242.com.xyz",1
Attached is the invoice for your recent purchase. Thank you for shopping with us.,0
"Hello, Your order has shipped and is on its way! Track your package here: https://www.amazon.com/trackorder",0
Unlock your account by confirming your details here: http://amazon-verify-389.com.ru/verify/,1
Attached is the invoice for your recent purchase. Thank you for shopping with us.,0
Unlock your account by confirming your details here: http://facebook-reset-557.com.xyz/verify/,1
We noticed unusual login attempts. Confirm your account here: http://dropbox-verify-932.com.pw/verify/,1
"Dear Customer, Your account has been temporarily suspended. Click here to verify: http://chase-signin-703.com.info/secure/",1
Your payment failed. Update your information: http://chase-signin-393.com.info/signin/,1
Final notice: click here to keep your account active: http://dropbox-verify-649.com.ru/verify/account/,1
Your account will be deleted if not verified: http://paypal-alert-491.com.pw,1
Unlock your account by confirming your details here: http://paypal-support-839.com.pw,1
"Hello, Your order has shipped and is on its way! Track your package here: https://www.amazon.com/trackorder",0
Your latest bank statement is now available in your online banking portal.,0
Your account will be deleted if not verified: http://chase-reset-220.com.cn/verify/,1
We noticed unusual login attempts. Confirm your account here: http://bankofamerica-signin-327.com.ml,1
Your account settings have been updated as requested.,0
The project is on track for completion. Let me know if you need anything else.,0
We noticed unusual login attempts. Confirm your account here: http://bankofamerica-reset-607.com.gq/reset/,1
Security alert! Review activity: http://bankofamerica-bank-410.com.cc/bank/update/,1
The project is on track for completion. Let me know if you need anything else.,0
Welcome to our weekly newsletter. Here are the top stories...,0
Your account is at risk. Reactivate now: http://dropbox-alert-841.com.cc/secure/,1
Your account will be deleted if not verified: http://chase-account-447.com.cc/secure/,1
Your account settings have been updated as requested.,0
"Hi Team, Just a reminder that we have a meeting scheduled tomorrow at 10:00 AM in the main conference room. Please bring your project updates.",0
We noticed unusual login attempts. Confirm your account here: http://apple-security-684.com.ml,1
Welcome to our weekly newsletter. Here are the top stories...,0
"Dear User, We detected suspicious activity on your account. Please verify your information immediately to restore access: http://google-account-800.com.gq/account/update/",1
Your account is at risk. Reactivate now: http://amazon-verify-561.com.cc/verify/update/,1
"Hello, Your order has shipped and is on its way! Track your package here: https://www.amazon.com/trackorder",0
Your payment failed. Update your information: http://facebook-login-997.com.top/login/update/,1
Final notice: click here to keep your account active: http://bankofamerica-reset-789.com.gq/verify/,1
Your latest bank statement is now available in your online banking portal.,0
Immediate action required: reset your password at http://chase-secure-848.com.cn/secure/,1
Final notice: click here to keep your account active: http://dropbox-verify-889.com.top/secure/,1
"Hello, Your order has shipped and is on its way! Track your package here: https://www.amazon.com/trackorder",0
"Dear User, We detected suspicious activity on your account. Please verify your information immediately to restore access: http://paypal-alert-965.com.gq/alert/",1
The project is on track for completion. Let me know if you need anything else.,0
Your account will be deleted if not verified: http://google-login-268.com.ml/login/update/,1
Thank you for your feedback. We appreciate your input.,0
Your latest bank statement is now available in your online banking portal.,0
"Dear User, We detected suspicious activity on your account. Please verify your information immediately to restore access: http://ebay-confirm-842.com.cc/confirm/update/",1
Security alert! Review activity: http://microsoft-signin-225.com.cc/signin/account/,1
Your latest bank statement is now available in your online banking portal.,0
"Hi Team, Just a reminder that we have a meeting scheduled tomorrow at 10:00 AM in the main conference room. Please bring your project updates.",0
Your account settings have been updated as requested.,0
Immediate action required: reset your password at http://paypal-signin-413.com.ru/verify/,1
Security alert! Review activity: http://apple-unlock-883.com.cn/verify/,1
Your password was changed successfully. No further action is needed.,0
Attached is the invoice for your recent purchase. Thank you for shopping with us.,0
We noticed unusual login attempts. Confirm your account here: http://bankofamerica-reset-561.com.gq/reset/,1
Your latest bank statement is now available in your online banking portal.,0
Your password was changed successfully. No further action is needed.,0
"Dear Customer, Your account has been temporarily suspended. Click here to verify: http://paypal-support-998.com.cn/verify/",1
Immediate action required: reset your password at http://bankofamerica-confirm-407.com.top/secure/,1
The project is on track for completion. Let me know if you need anything else.,0
"Dear Customer, Your account has been temporarily suspended. Click here to verify: http://amazon-login-259.com.top/secure/",1
Attached is the invoice for your recent purchase. Thank you for shopping with us.,0
"Hello, Your order has shipped and is on its way! Track your package here: https://www.amazon.com/trackorder",0
The project is on track for completion. Let me know if you need anything else.,0
You're invited to our annual event! RSVP here.,0
Your payment failed. Update your information: http://chase-bank-943.com.pw/verify/,1
Your payment failed. Update your information: http://microsoft-alert-657.com.top,1
Welcome to our weekly newsletter. Here are the top stories...,0
We noticed unusual login attempts. Confirm your account here: http://dropbox-security-560.com.cc,1
Your account settings have been updated as requested.,0
Your latest bank statement is now available in your online banking portal.,0
Welcome to our weekly newsletter. Here are the top stories...,0
"Hello, Your order has shipped and is on its way! Track your package here: https://www.amazon.com/trackorder",0
Immediate action required: reset your password at http://paypal-login-864.com.ml/login/update/,1
"Dear User, We detected suspicious activity on your account. Please verify your information immediately to restore access: http://paypal-alert-229.com.gq",1
